,cprcode,brcode,ib_cf_qty,new_ib_vs_stock_cv
0,0000009,1000,39,39
1,0000012,1000,39,39
2,0000026,1000,9,9
3,0000028,1000,13,13
4,0000033,1000,7,7
5,0000036,1000,22,22
6,0000038,1000,143,143
7,0000040,1000,55,55
8,0000047,1000,10,10
9,0000048,1000,21,21
10,0000049,1000,30,30
11,0000078,1000,4,4
12,0000085,1000,3,3
13,0000086,1000,16,16
14,0000093,1000,27,27
15,0000099,1000,3,3
16,0000100,1000,4,4
17,0000176,1000,7,7
18,0000177,1000,3,3
19,0000311,1000,10,10
20,0000312,1000,6,6
21,0000398,1000,35,35
22,0000497,1000,30,30
23,0000511,1000,57,57
24,0000819,1000,4,4
25,0000821,1000,14,14
26,0000823,1000,4,4
27,0000890,1000,1,1
28,0000952,1000,2,2
29,0000973,1000,14,14
30,0000974,1000,13,13
31,0000976,1000,9,9
32,0000981,1000,28,28
33,0000982,1000,18,18
34,0000984,1000,3,3
35,0000985,1000,8,8
36,0000989,1000,29,29
37,0000995,1000,7,7
38,0000998,1000,5,5
39,0000999,1000,3,3
40,0001018,1000,7,7
41,0001021,1000,20,20
42,0001023,1000,10,10
43,0001056,1000,23,23
44,0001057,1000,23,23
45,0001058,1000,14,14
46,0001059,1000,32,32
47,0001060,1000,17,17
48,0001086,1000,15,15
49,0001087,1000,32,32
50,0001091,1000,7,7
51,0001092,1000,26,26
52,0001093,1000,32,32
53,0001094,1000,7,7
54,0001097,1000,30,30
55,0001116,1000,35,35
56,0001132,1000,54,54
57,0001134,1000,0,0
58,0001142,1000,1604,1604
59,0001143,1000,295,295
60,0001144,1000,901,901
61,0001180,1000,4,4
62,0001200,1000,22,22
63,0001208,1000,8,8
64,0001426,1000,26,26
65,0001451,1000,21,21
66,0001458,1000,30,30
67,0001465,1000,23,23
68,0001466,1000,13,13
69,0001467,1000,42,42
70,0001613,1000,24,24
71,0001614,1000,29,29
72,0001615,1000,16,16
73,0001616,1000,37,37
74,0001617,1000,24,24
75,0001618,1000,30,30
76,0001898,1000,209,209
77,0001900,1000,209,209
78,0001972,1000,87,87
79,0001973,1000,43,43
80,0002115,1000,22,22
81,0002117,1000,36,36
82,0002192,1000,30,30
83,0002237,1000,60,60
84,0002370,1000,0,0
85,0002385,1000,19,19
86,0002386,1000,0,0
87,0002445,1000,7,7
88,0002454,1000,10,10
89,0002456,1000,20,20
90,0002622,1000,10,10
91,0002651,1000,15,15
92,0002679,1000,0,0
93,0002680,1000,0,0
94,0002681,1000,0,0
95,0002682,1000,0,0
96,0002818,1000,23,23
97,0002846,1000,26,26
98,0002861,1000,16,16
99,0002991,1000,0,0
100,0002998,1000,66,66
101,0003113,1000,0,0
102,0003204,1000,15,15
103,0003258,1000,6,6
104,0003264,1000,14,14
105,0003368,1000,0,0
106,0003388,1000,25,25
107,0003415,1000,40,40
108,0003417,1000,45,45
109,0003419,1000,27,27
110,0003422,1000,0,0
111,0003427,1000,42,42
112,0003428,1000,65,65
113,0003447,1000,18,18
114,0003464,1000,16,16
115,0003473,1000,21,21
116,0003496,1000,4,4
117,0003586,1000,0,0
118,0003587,1000,40,40
119,0003588,1000,0,0
120,0003591,1000,18,18
121,0003638,1000,0,0
122,0003647,1000,0,0
123,0003649,1000,0,0
124,0003802,1000,2,2
125,0003804,1000,0,0
126,0003806,1000,0,0
127,0003815,1000,12,12
128,0003828,1000,0,0
129,0003829,1000,10,10
130,0003831,1000,13,13
131,0003871,1000,21,21
132,0003872,1000,14,14
133,0003895,1000,6,6
134,0003896,1000,7,7
135,0003897,1000,33,33
136,0004010,1000,9,9
137,0004011,1000,6,6
138,0004061,1000,13,13
139,0004066,1000,107,107
140,0004082,1000,61,61
141,0004091,1000,0,0
142,0004115,1000,0,0
143,0004150,1000,4,4
144,0004232,1000,10,10
145,0004251,1000,13,13
146,0004253,1000,12,12
147,0004388,1000,2,2
148,0004400,1000,4,4
149,0004401,1000,14,14
150,0004405,1000,16,16
151,0004406,1000,7,7
152,0004414,1000,0,0
153,0004470,1000,3,3
154,0004476,1000,12,12
155,0004493,1000,2,2
156,0004495,1000,5,5
157,0004496,1000,3,3
158,0004504,1000,0,0
159,0004507,1000,11,11
160,0004525,1000,26,26
161,0004528,1000,38,38
162,0004531,1000,59,59
163,0004550,1000,33,33
164,0004551,1000,13,13
165,0004611,1000,67,67
166,0004612,1000,0,0
167,0004616,1000,0,0
168,0004637,1000,0,0
169,0004650,1000,37,37
170,0004664,1000,40,40
171,0004687,1000,8,8
172,0004688,1000,7,7
173,0004689,1000,5,5
174,0004703,1000,8,8
175,0004705,1000,14,14
176,0004710,1000,9,9
177,0004712,1000,14,14
178,0004751,1000,15,15
179,0004760,1000,6,6
180,0004761,1000,24,24
181,0004764,1000,9,9
182,0004765,1000,16,16
183,0004789,1000,0,0
184,0004828,1000,0,0
185,0004834,1000,0,0
186,0004838,1000,7,7
187,0004873,1000,12,12
188,0004875,1000,7,7
189,0004877,1000,6,6
190,0004923,1000,2,2
191,0004924,1000,5,5
192,0004925,1000,36,36
193,0004981,1000,4,4
194,0005050,1000,29,29
195,0005054,1000,24,24
196,0005057,1000,4,4
197,0005154,1000,0,0
198,0005155,1000,0,0
199,0005168,1000,0,0
200,0005169,1000,6,6
201,0005218,1000,10,10
202,0005241,1000,8,8
203,0005256,1000,0,0
204,0005257,1000,0,0
205,0005263,1000,12,12
206,0005266,1000,20,20
207,0005267,1000,20,20
208,0005333,1000,11,11
209,0005353,1000,57,57
210,0005370,1000,29,29
211,0005375,1000,47,47
212,0005376,1000,46,46
213,0005393,1000,0,0
214,0005397,1000,7,7
215,0005400,1000,1,1
216,0005494,1000,0,0
217,0005594,1000,26,26
218,0005601,1000,9,9
219,0005602,1000,11,11
220,0005603,1000,16,16
221,0005604,1000,16,16
222,0005643,1000,0,0
223,0005656,1000,0,0
224,0005669,1000,18,18
225,0005728,1000,13,13
226,0005729,1000,14,14
227,0005748,1000,5,5
228,0005752,1000,11,11
229,0005802,1000,0,0
230,0005826,1000,9,9
231,0005827,1000,5,5
232,0005828,1000,4,4
